"id";"title";"slug";"price_guide"
179;"S2";"audi-s2";0
180;"TT";"audi-tt";0
181;"Arnage";"bentley-arnage";0
182;"Azure";"bentley-azure";0
183;"Brooklands";"bentley-brooklands";0
184;"Continental";"bentley-continental";0
185;"Hunaudieres";"bentley-hunaudieres";0
186;"Java";"bentley-java";0
187;"Mark I-IV";"bentley-mark-i-iv";0
188;"Mulsanne";"bentley-mulsanne";0
189;"R-Type";"bentley-r-type";0
190;"S-Type";"bentley-s-type";0
191;"T-Type";"bentley-t-type";0
192;"116i";"bmw-116i";0
193;"118d";"bmw-118d";0
194;"118i";"bmw-118i";0
195;"120d";"bmw-120d";0
196;"120i";"bmw-120i";0
197;"125i";"bmw-125i";0
198;"128i";"bmw-128i";0
199;"130i";"bmw-130i";0
200;"135i";"bmw-135i";0
201;"1500";"bmw-1500";0
202;"1600";"bmw-1600";0
203;"1800";"bmw-1800";0
204;"2000";"bmw-2000";0
205;"2800";"bmw-2800";0
206;"316i";"bmw-316i";0
207;"316Ti";"bmw-316ti";0
208;"318i";"bmw-318i";0
209;"318ti";"bmw-318ti";0
210;"3200CS";"bmw-3200cs";0
211;"320Ci";"bmw-320ci";0
212;"320d";"bmw-320d";0
213;"320i";"bmw-320i";0
214;"323i";"bmw-323i";0
215;"325i";"bmw-325i";0
216;"328i";"bmw-328i";0
217;"330i";"bmw-330i";0
218;"333i";"bmw-333i";0
219;"335i";"bmw-335i";0
220;"518i";"bmw-518i";0
221;"520i";"bmw-520i";0
222;"523i";"bmw-523i";0
223;"524d";"bmw-524d";0
224;"525i";"bmw-525i";0
225;"528i";"bmw-528i";0
226;"530i";"bmw-530i";0
227;"535i";"bmw-535i";0
228;"540i";"bmw-540i";0
229;"545i";"bmw-545i";0
230;"550i";"bmw-550i";0
231;"6 Series";"bmw-6-series";0
232;"7 Series";"bmw-7-series";0
233;"8 Series";"bmw-8-series";0
234;"Dinan";"bmw-dinan";0
235;"FW";"bmw-fw";0
236;"Isetta";"bmw-isetta";0
237;"Just";"bmw-just";0
238;"Karmann";"bmw-karmann";0
239;"L7";"bmw-l7";0
240;"LMR";"bmw-lmr";0
241;"M1";"bmw-m1";0
